                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.318,                 4.1064,                 4.3004,                0.00266,                0.56721,                  0.003,                0.00126,                 2.6363,                 3.3822,                 4.1588,              0.0001429,              0.0001429,              0.0001429
                      2,                 3.1896,                 4.0364,                 4.2282,                0.00273,                0.61154,                0.00287,                0.00118,                 2.6382,                 3.3828,                 4.1575,             0.00029712,             0.00029712,             0.00029712
                      3,                 3.1693,                 3.9363,                 4.1784,                0.00276,                0.59193,                 0.0044,                0.00191,                 2.6387,                 3.3641,                  4.149,             0.00044823,             0.00044823,             0.00044823
                      4,                 3.3509,                 3.9623,                 4.1203,                 0.0028,                0.59193,                0.00312,                0.00131,                 2.6487,                 3.3808,                 4.1391,             0.00059622,             0.00059622,             0.00059622
                      5,                 3.0805,                 3.8333,                 4.0442,                0.00278,                0.60642,                0.00824,                0.00344,                 2.6372,                 3.3352,                 4.1479,              0.0007411,              0.0007411,              0.0007411
                      6,                 3.1113,                 3.7904,                  3.948,                0.00277,                0.61665,                0.00367,                0.00155,                 2.6289,                 3.4498,                 4.2043,             0.00088287,             0.00088287,             0.00088287
                      7,                   3.02,                 3.6683,                 3.8309,                0.00033,                0.27451,                  0.001,                0.00032,                 2.6149,                 3.8717,                 4.1929,              0.0010215,              0.0010215,              0.0010215
                      8,                 2.8313,                 3.6269,                 3.7398,                 0.0003,                 0.2549,                0.00035,                0.00013,                 2.5806,                 4.4188,                 4.0689,              0.0011571,              0.0011571,              0.0011571
                      9,                 2.8016,                 3.5529,                 3.5913,                0.00032,                0.27451,                0.00062,                0.00026,                 2.6778,                 4.4312,                 4.0951,              0.0012895,              0.0012895,              0.0012895
                     10,                 2.7306,                 3.5733,                 3.6004,                0.00659,                0.53026,                0.00953,                0.00328,                 2.7435,                 5.4548,                 4.0622,              0.0013017,              0.0013017,              0.0013017
                     11,                 2.8673,                 3.6022,                  3.536,                0.00279,                0.34186,                0.00355,                0.00073,                 3.2496,                 5.5776,                 4.1243,              0.0013017,              0.0013017,              0.0013017
                     12,                 2.7669,                 3.4555,                 3.4553,                 0.0072,                0.34577,                0.00526,                0.00145,                 3.1987,                 9.1096,                 3.8704,              0.0012875,              0.0012875,              0.0012875
                     13,                 2.7973,                 3.4731,                  3.417,                0.36702,                0.04227,                0.01273,                0.00396,                 2.7542,                 5.1671,                 3.8546,              0.0012734,              0.0012734,              0.0012734
                     14,                 2.7256,                 3.4767,                 3.4078,                0.20086,                0.10129,                0.08121,                0.02586,                 2.7231,                 4.6996,                 3.7988,              0.0012592,              0.0012592,              0.0012592
                     15,                 2.6998,                 3.4036,                 3.3251,                0.22788,                0.10536,                0.09351,                0.02879,                 2.4123,                 3.6876,                 3.6979,              0.0012451,              0.0012451,              0.0012451
                     16,                 2.6076,                 3.4128,                  3.254,                0.06238,                0.29014,                0.09207,                0.02489,                 2.4294,                 4.2135,                 3.4509,              0.0012309,              0.0012309,              0.0012309
                     17,                 2.6245,                 3.4206,                 3.2241,                0.42526,                0.22946,                0.08424,                0.02026,                 2.6558,                 6.1862,                  3.603,              0.0012168,              0.0012168,              0.0012168
                     18,                 2.4631,                  3.267,                  3.183,                0.55088,                0.20169,                0.10142,                0.05018,                 2.1487,                 3.3119,                 3.2819,              0.0012026,              0.0012026,              0.0012026
                     19,                 2.4953,                 3.3392,                 3.1707,                0.09072,                0.22448,                0.07905,                0.02599,                 2.0339,                 4.0733,                 3.0513,              0.0011885,              0.0011885,              0.0011885
                     20,                 2.5107,                 3.3556,                 3.1353,                0.08303,                0.36381,                0.05819,                0.01886,                 2.9515,                 16.526,                 3.7348,              0.0011744,              0.0011744,              0.0011744
                     21,                 2.4252,                 3.2284,                 3.0814,                0.76576,                0.20233,                0.13785,                0.05221,                 2.1681,                  3.462,                  3.086,              0.0011602,              0.0011602,              0.0011602
                     22,                 2.3871,                 3.1846,                 3.0644,                0.42727,                0.32225,                0.09099,                0.02981,                 2.2338,                  3.089,                 3.3857,              0.0011461,              0.0011461,              0.0011461
                     23,                 2.4028,                 3.1425,                 3.0081,                0.46409,                0.37425,                0.19525,                0.08024,                 2.0122,                 2.6294,                 3.0056,              0.0011319,              0.0011319,              0.0011319
                     24,                 2.3434,                 3.2046,                 2.9871,                0.48827,                  0.237,                0.20519,                0.08732,                 2.0017,                  4.294,                 2.8977,              0.0011178,              0.0011178,              0.0011178
                     25,                 2.3018,                 3.1336,                  2.875,                0.47087,                0.20801,                0.18209,                 0.0625,                 2.1413,                 5.6915,                 3.0236,              0.0011036,              0.0011036,              0.0011036
                     26,                 2.2542,                 3.0514,                 2.8958,                0.02896,                0.13399,                0.02268,                0.00594,                 3.0176,                 5.5491,                 3.6165,              0.0010895,              0.0010895,              0.0010895
                     27,                 2.2409,                 3.0112,                  2.853,                0.15134,                0.39059,                0.13273,                0.04262,                 2.1194,                 3.3001,                 2.9188,              0.0010753,              0.0010753,              0.0010753
                     28,                 2.2382,                 2.9756,                 2.8761,                0.25447,                0.09903,                0.11264,                0.04029,                 2.1951,                 3.3698,                 2.9984,              0.0010612,              0.0010612,              0.0010612
                     29,                 2.2282,                 3.0759,                 2.7943,                0.70703,                0.19514,                0.21196,                0.06617,                 1.9968,                 3.5007,                 2.7847,               0.001047,               0.001047,               0.001047
                     30,                 2.2142,                 2.9459,                 2.7399,                0.46582,                  0.237,                 0.2384,                0.08712,                 1.9076,                 2.9228,                 2.7338,              0.0010329,              0.0010329,              0.0010329
                     31,                 2.1811,                 3.0089,                 2.7969,                0.16244,                0.28794,                0.16908,                0.06673,                 2.0907,                 2.8353,                 2.8856,              0.0010187,              0.0010187,              0.0010187
                     32,                 2.0686,                 2.9304,                 2.7095,                0.16854,                0.27411,                0.21414,                0.08487,                 1.8881,                 2.8643,                 2.7261,              0.0010046,              0.0010046,              0.0010046
                     33,                 2.0921,                 2.8414,                 2.6944,                0.12343,                0.40409,                0.24967,                0.10384,                 1.8395,                  2.797,                 2.6989,             0.00099044,             0.00099044,             0.00099044
                     34,                 2.0755,                 2.7847,                 2.6229,                0.55741,                0.33504,                0.33775,                0.15399,                 1.8049,                 2.3451,                 2.6526,             0.00097629,             0.00097629,             0.00097629
                     35,                 2.0152,                 2.8049,                 2.6354,                0.51899,                0.37219,                0.30765,                0.15241,                 1.7089,                 2.6201,                 2.5036,             0.00096215,             0.00096215,             0.00096215
                     36,                 2.0807,                 2.7876,                 2.6485,                 0.2965,                0.51445,                0.25184,                 0.1221,                 1.7475,                 2.6854,                 2.5499,               0.000948,               0.000948,               0.000948
                     37,                 1.9809,                 2.7331,                 2.5697,                0.36547,                0.38818,                 0.2842,                0.13879,                 1.7358,                 2.6419,                 2.5554,             0.00093385,             0.00093385,             0.00093385
                     38,                 2.0138,                 2.8393,                 2.6408,                0.17233,                0.37731,                0.28247,                0.11696,                 1.8029,                 2.6828,                 2.5686,              0.0009197,              0.0009197,              0.0009197
                     39,                  2.015,                 2.6554,                 2.6108,                0.39432,                0.39486,                0.30073,                 0.1324,                 1.7451,                 3.1115,                 2.5385,             0.00090556,             0.00090556,             0.00090556
                     40,                  1.933,                 2.6675,                 2.5569,                0.90129,                0.28891,                0.47465,                0.21491,                 1.7442,                 2.8937,                 2.5237,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.9707,                 2.5722,                 2.5217,                 0.8599,                0.28584,                0.44162,                0.18949,                 1.7724,                 2.6734,                 2.5223,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.9329,                 2.5643,                 2.5495,                0.60904,                0.26028,                0.40383,                0.18162,                 1.7683,                 2.3135,                 2.5082,             0.00086312,             0.00086312,             0.00086312
                     43,                  1.877,                 2.5529,                  2.496,                0.59729,                0.31117,                0.42667,                0.16612,                 1.7163,                 2.5234,                 2.4921,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.9307,                 2.5435,                 2.5077,                0.40384,                0.40267,                0.38458,                0.18507,                 1.6289,                 2.4285,                 2.5264,             0.00083482,             0.00083482,             0.00083482
                     45,                  1.872,                 2.5116,                 2.5096,                  0.203,                 0.3313,                 0.2873,                0.14315,                 1.6572,                 2.5832,                 2.5994,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.8841,                 2.4679,                 2.4394,                0.26882,                0.56444,                0.37082,                0.17667,                 1.6595,                 2.5131,                 2.5234,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.8914,                  2.515,                  2.483,                0.34403,                0.55582,                0.40231,                 0.1661,                 1.6991,                 2.4004,                 2.5653,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.7742,                 2.3913,                 2.3833,                  0.563,                0.48118,                0.45794,                0.19208,                 1.7388,                 2.2322,                  2.627,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.7499,                  2.367,                 2.3558,                0.61441,                0.34527,                0.38862,                0.17131,                 1.7013,                 2.1836,                 2.6261,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.7644,                 2.4271,                 2.3408,                0.49965,                0.51434,                0.48164,                0.25769,                 1.5971,                 2.1237,                 2.4952,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.7302,                 2.3535,                 2.3323,                0.69311,                0.46003,                0.51459,                0.27468,                 1.6228,                 2.0362,                 2.4633,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.6954,                 2.3081,                 2.3256,                0.38094,                 0.5039,                0.53032,                0.29075,                 1.5206,                 1.9443,                 2.3214,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.7093,                 2.3651,                 2.3015,                0.62589,                0.64804,                0.64378,                0.33278,                 1.5144,                 1.8935,                 2.3602,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.6599,                 2.2667,                 2.2609,                0.57341,                0.63547,                0.63378,                0.31373,                 1.5457,                 2.0182,                  2.446,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.6457,                 2.2593,                 2.3169,                0.64751,                0.65221,                0.64669,                0.31937,                 1.5534,                 1.8074,                 2.3431,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.6697,                 2.1996,                 2.2738,                0.48755,                0.50648,                0.54932,                0.28666,                 1.5169,                 1.9834,                 2.2988,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.6625,                 2.2079,                 2.2635,                0.49632,                0.51056,                0.48862,                0.25941,                 1.4648,                 1.9471,                 2.2595,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.6632,                 2.2505,                 2.2489,                 0.3366,                0.64592,                0.48306,                0.26537,                 1.4532,                 2.2011,                 2.2335,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.6492,                 2.1788,                 2.2399,                0.58902,                0.42988,                0.50085,                0.30136,                 1.4308,                 2.2498,                 2.2082,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.6482,                 2.2429,                 2.2788,                0.63496,                 0.4703,                0.59354,                0.32387,                 1.4488,                  2.129,                 2.2264,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.5806,                 2.0855,                 2.1691,                 0.6598,                0.61482,                0.66864,                0.39067,                 1.4052,                 1.7675,                 2.2172,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.6456,                 2.0908,                 2.2197,                0.76247,                0.60986,                0.62345,                0.36275,                 1.4243,                 1.8191,                 2.2731,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.5376,                 2.0281,                 2.1695,                0.66591,                 0.5611,                0.62616,                0.34346,                 1.5094,                 2.0082,                 2.2859,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.5021,                 1.9725,                 2.1511,                0.52927,                0.72422,                0.64818,                0.35139,                 1.5519,                 2.0154,                 2.3119,             0.00055188,             0.00055188,             0.00055188
                     65,                  1.624,                 2.0664,                 2.1951,                0.59269,                0.63373,                0.63693,                0.37506,                 1.3969,                 1.8823,                 2.2558,             0.00053773,             0.00053773,             0.00053773
                     66,                  1.492,                 1.9732,                 2.1239,                0.63976,                  0.486,                0.60858,                0.38677,                 1.3655,                 1.8066,                  2.202,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.5188,                 1.9364,                 2.1057,                0.65253,                0.51734,                0.57707,                0.35254,                 1.3792,                 1.9104,                 2.1559,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.4901,                 1.9477,                 2.1113,                0.65046,                  0.546,                0.63806,                0.38103,                 1.4145,                 1.7466,                 2.2603,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.4812,                 2.0267,                 2.1115,                0.60961,                0.47087,                0.56659,                0.33777,                 1.4787,                 1.8678,                 2.3617,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.5612,                 1.9765,                 2.1107,                0.51618,                0.56358,                0.54749,                0.31113,                 1.4277,                 1.8825,                 2.2701,               0.000467,               0.000467,               0.000467
                     71,                 1.4761,                 1.8927,                 2.0555,                0.62282,                0.63737,                0.68113,                0.43049,                 1.3371,                 1.6541,                  2.135,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.4547,                 1.8903,                 2.0711,                 0.5141,                0.72096,                0.68148,                0.43228,                 1.3324,                 1.5414,                 2.1224,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.3904,                 1.8026,                 1.9821,                0.81927,                0.59221,                0.74791,                0.45768,                 1.3041,                 1.5832,                  2.063,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.5095,                 1.9465,                 2.0975,                0.67817,                 0.6468,                0.69008,                0.43271,                 1.3404,                 1.8358,                 2.0569,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.3686,                 1.7775,                 2.0046,                0.75237,                 0.5004,                 0.6612,                0.41013,                 1.4638,                 1.8345,                 2.1866,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.4412,                 1.8523,                 2.0411,                0.76275,                0.67119,                0.76933,                0.48606,                 1.2719,                 1.5507,                 2.0541,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.4144,                 1.8342,                 2.0573,                0.83419,                0.67819,                0.79016,                0.51057,                 1.3321,                 1.4511,                 2.1037,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.4184,                 1.7721,                 2.0393,                0.83235,                0.70102,                0.81482,                0.52649,                 1.3075,                 1.3937,                 2.1106,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.3612,                 1.7346,                 2.0006,                0.70123,                0.70081,                0.76568,                0.48558,                 1.3384,                 1.5209,                 2.1477,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.3925,                 1.7704,                 2.0022,                0.74716,                0.61333,                0.78021,                0.50355,                 1.2953,                 1.4743,                 2.0936,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.4008,                 1.8061,                 1.9941,                0.70625,                0.62247,                0.78353,                0.50894,                 1.2903,                 1.4789,                 2.0844,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.3188,                 1.6719,                 1.9078,                0.78052,                0.63279,                0.74569,                0.48241,                  1.308,                 1.5704,                 2.1332,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.3512,                 1.6835,                 1.9783,                0.76392,                0.70798,                0.76728,                0.49738,                 1.2587,                 1.4603,                 2.0811,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.4051,                 1.7498,                 2.0079,                0.64436,                0.68731,                0.76048,                0.50099,                 1.2442,                 1.4785,                 2.0059,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.2957,                 1.6082,                  1.912,                0.69376,                  0.757,                0.78077,                 0.5264,                 1.1976,                 1.4603,                 1.9459,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.3113,                 1.6402,                 1.9167,                0.64337,                0.78582,                0.77989,                0.52808,                 1.1895,                 1.4453,                 1.9439,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.2946,                 1.6813,                 1.9328,                0.73173,                0.75292,                0.81532,                0.54023,                 1.2316,                 1.3822,                 1.9968,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.2993,                 1.6387,                 1.9195,                0.65248,                0.79049,                0.79128,                0.53387,                  1.253,                 1.3787,                 2.0167,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.2837,                  1.632,                  1.912,                0.67176,                 0.7657,                0.78022,                0.53997,                 1.2372,                 1.3571,                 1.9942,              0.0001982,              0.0001982,              0.0001982
                     90,                  1.329,                 1.7098,                 1.9564,                0.74211,                0.74846,                0.76859,                0.53743,                 1.2179,                 1.4067,                 1.9627,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.1992,                 1.6902,                 1.9292,                0.72517,                 0.6984,                0.74407,                0.51259,                 1.2252,                 1.4398,                 1.9674,             0.00016991,             0.00016991,             0.00016991
                     92,                 1.2196,                 1.6476,                 2.0031,                0.65798,                0.76594,                0.71127,                0.47421,                 1.3405,                 1.3904,                  2.081,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.1207,                 1.4575,                 1.8392,                0.67218,                 0.7615,                0.69077,                0.47062,                 1.3384,                 1.3808,                 2.0991,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.1451,                 1.5163,                 1.9538,                0.63035,                0.69039,                0.71107,                0.46823,                 1.2996,                 1.4015,                 2.1008,             0.00012747,             0.00012747,             0.00012747
                     95,                 1.0876,                 1.4018,                 1.8804,                0.67977,                0.74267,                0.76311,                0.51178,                  1.279,                 1.3106,                 2.0707,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.0948,                 1.3517,                 1.8998,                0.71495,                0.81237,                0.80512,                 0.5348,                 1.2696,                 1.2366,                 2.0425,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.0443,                 1.3659,                 1.8721,                0.72803,                0.80557,                0.81468,                0.54155,                 1.2584,                 1.2063,                 2.0205,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 1.0718,                 1.3342,                 1.8123,                0.75956,                0.83592,                0.84262,                0.55659,                 1.2379,                 1.1832,                 2.0041,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.0788,                  1.348,                 1.8396,                0.74876,                0.86353,                0.85438,                0.57584,                 1.2238,                 1.1664,                 1.9963,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.0338,                 1.2753,                 1.7897,                0.75076,                0.84214,                0.84973,                0.56822,                 1.2116,                 1.1527,                 1.9937,             4.2584e-05,             4.2584e-05,             4.2584e-05
